ID,CSE-111,CSE-112,MAT-111,PHY-111,PHY-112,CEL-111,CSE-121,CSE-122,MAT-121,PHY-121,PHY-122,CEL-121,CSE-131,CSE-132,CSE-133,CSE-134,MAT-131,BDS-127,CSE-211,CSE-212,CSE-213,CSE-214,CSE-215,MAT-211,CSE-221,CSE-222,CSE-223,CSE-224,MAT-221,STA-221,CSE-231,CSE-233,CSE-234,CSE-235,CSE-236,IEC-231,CSE-311,CSE-312,CSE-313,CSE-314,CSE-315,BNA-311,CSE-321,CSE-322,CSE-323,CSE-324,CSE-325,CSE-327,CSE-331,CSE-332,CSE-333,CSE-334,CSE-335,CSE-336,CSE-337,CSE-338,CSE-411,CSE-412,CSE-413,CSE-415,CSE-416,CSE-417,CSE-483,CSE-489,CSE-491,CSE-499
171030101002,3,3.75,3.5,2.5,3.25,3.5,2.5,2.5,3.75,3,3.5,3.25,2.25,3.5,3.5,3,3,3.75,3.25,4,3,2.5,3.25,4,2.5,3.5,3.25,4,3.25,3.25,3.25,2.5,3.75,4,3,3.5,3.5,4,3.75,4,4,4,4,4,4,4,4,3.5,4,3.5,3.75,4,3.75,3.75,2.25,4,3.75,4,3.5,4,3.5,3.5,2.75,4,3.25,4
171030101003,2.5,3.75,2.25,2.25,3.25,3.5,4,2,2.25,3,3.5,3.25,2,3.5,3.25,2.5,2.5,2.75,2.75,4,3.75,2,3.25,3.5,3.25,4,3.75,3.5,2.25,2.75,3.25,3.75,4,3.5,4,3.5,3.25,3,3.25,3.5,2.75,3.5,3.5,3.5,4,4,3.75,3.5,4,3.25,3.75,4,4,4,4,4,3.75,3.5,4,3.5,2.75,4,3.5,3,3.5,4
171030101004,3,4,3.5,2.25,3.25,3.5,3.5,2,2.5,3.25,3.25,2.75,2,3.25,2,2.5,2.75,2.25,2,3.25,2.25,3.5,2,3.25,2.25,3,3.25,3.5,2,3.75,2.75,2.5,3.5,2.75,3.5,3.75,3.25,3,2.75,2.75,3.25,2.75,4,4,3,3.75,3.5,3.5,3.5,3.5,3.5,3.75,3.5,3.25,3.75,3.25,4,3.5,3.5,3.75,3.25,3.5,3.5,3.75,3.75,3.25
171030101012,2.5,2.5,2.75,2.75,3.25,3.75,2,2,2.75,2.5,3.5,2.75,2.25,3.5,2.75,3.25,2.75,2.75,2.5,4,2.25,3.25,2,3.5,3,3.25,4,3.25,2.25,2,2.75,2.5,3.5,2.25,3.5,3,3.5,3.25,3,3.25,2,2.75,3,3,3.25,3.25,3.5,2.5,2.75,3,3.5,3.5,3,3.25,3.5,3.5,3.75,3.25,3,3.25,2.75,3.25,3,3.75,3.25,3.75
171030101013,3.5,3.75,3.25,2.75,3.5,4,2.5,4,3.75,3.25,3.5,4,2.5,3.5,3.5,4,3.25,3.5,3,3.75,3.75,4,3.25,4,2.5,3,3.25,4,2.75,2.75,2.75,3.25,3.75,3.5,3.25,3.75,3,3.25,3.5,3.75,3.5,2.75,4,4,3.75,3.5,3.75,3,3,3.25,3.75,4,3.75,4,3.75,3.75,4,4,3.75,3.75,3.75,4,4,3.75,3.75,3.75
171030101016,3,3.75,3,2.75,3.5,3,2,3.75,2.75,2.25,3.25,2.25,2,3.25,2.75,2.5,2.25,2.5,2,3.5,2.75,2.75,2,3.75,2.5,2.5,3.5,2.25,3,2,2,2,2.5,2,3.75,3,2,3.5,2.25,3.25,3.25,3.5,2,2,2.75,2.5,3.5,2.5,2.5,2.5,3,3.5,2.5,3.25,3.25,2.75,3.5,3.25,3,3,2.75,3.25,2.75,3,3.25,3
171030101017,3.75,4,4,3.75,4,4,2.75,3.5,4,3,3,4,3,3,4,2.5,4,4,3.75,4,4,3,3.25,4,3,4,3.75,4,4,4,3.5,4,4,3.75,3.5,3.5,4,4,4,4,4,4,3.75,3.75,3.5,4,3.5,3.75,4,3.75,4,4,4,3.5,4,4,4,3.75,3.5,4,2.5,4,2.75,3.25,3.5,4
171030101018,2.5,3.75,2.5,3.25,3.5,3.5,3,3.25,3.25,3,3.25,2.75,2.75,3.25,3.5,3.25,2.25,3,3,3.25,2.5,3.25,2.25,3.5,2.75,4,3.25,3.5,2.25,2.75,2.5,2.75,3.25,3,2.75,3,2,3,2.75,3.25,3,2,3,3,3.25,3.5,3.5,2,2.5,3.25,3.25,3.5,3.5,3.5,3.25,3.5,3.75,4,3.5,3.5,3,3.25,3.25,3,3.5,3
171030101019,3.25,3.75,3.25,4,4,3.75,2.25,2.75,4,3.5,3.5,3.75,3,3.5,3.75,3.25,3.25,3.75,4,4,4,3,3.5,4,3.25,3.5,3.25,3.75,2.5,3.25,4,3.5,3.5,3.75,3,4,3.75,3.75,3.75,3.5,4,4,4,4,4,4,3.75,3.5,4,4,4,4,4,3.5,4,3.75,4,3.75,3.5,4,3.5,4,4,4,3.5,3.5
171030101022,2.5,3.75,3.25,3,3.5,4,2,2.25,3,2.5,3.5,3.75,2.5,3.5,3.75,4,3.25,3,3.5,3.5,3.25,3,2.75,4,2.5,3.5,2.75,4,3.75,3.5,3.75,3.25,4,3.5,3.75,4,3.75,3.75,2.75,3.75,4,2.75,3.5,3.5,3.75,4,3.75,3.25,3.75,3.75,4,4,4,3.5,4,4,4,3.75,3.75,4,3.5,4,4,4,4,3.75
